#
# Version TT_2.0
#

#  Parameter thresholds:
    0.001562500000000    0.001575211391707    1.087121212121212    0.019289743778870
    0.020273438386365    0.040247963777292    1.174242424242425    0.026525142696399
    0.038118686322015    0.076938546019925    1.184659090909091    0.030634499325435
    0.055462361792557    0.109431137566735    1.279220779220779    0.033960842311598
    0.070519660486888    0.137241197566504    1.303846153846154    0.037245776040747
    0.084291985708034    0.162087282039328    1.369318181818182    0.040439814311289
    0.097351048843982    0.185980105845603    1.408333333333333    0.043536520509576
    0.110170250463301    0.209987814647414    1.449494949494949    0.046547028791486
    0.123061764574977    0.234444747946500    1.516666666666667    0.049490041036471
    0.135989063235247    0.260016113184480    1.563492063492064    0.052384469033684
    0.149171999211549    0.286783292706182    1.607692307692307    0.055254187728594
    0.162534679950672    0.315756366605626    1.630681818181818    0.058086721552154
    0.176506303045853    0.346558342163667    1.679487179487180    0.060894033355801
    0.190812577136504    0.378922446506304    1.759615384615385    0.063698798147617
    0.205598211862203    0.413628298146407    1.788888888888889    0.066505095762701
    0.221005322037261    0.451551348140636    1.866071428571428    0.069306908343465
    0.237047269787060    0.491626264366453    1.881944444444445    0.072126578402915
    0.253793003637840    0.533797649268646    1.894444444444445    0.074962059839011
    0.271451237199035    0.578595964368626    2.038461538461538    0.077825788197320
    0.290213826033620    0.625664520659829    2.133928571428572    0.080713217517266
    0.309872851387097    0.675666762618520    2.154761904761905    0.083658566522380
    0.330716733252022    0.726458528586591    2.261363636363637    0.086666722912744
    0.352832607516424    0.777780366159153    2.292857142857143    0.089734359519922
    0.376271905254522    0.830575673922797    2.387500000000000    0.092875926913954
    0.401101890164920    0.884448771989796    2.436507936507937    0.096131377006238
    0.427657244816935    0.939770759787747    2.522727272727272    0.099502927399322
    0.456185320154610    0.997228582764833    2.645833333333333    0.103000786992184
    0.486863940848310    1.057639885351557    2.720779220779221    0.106669243989744
    0.520059154180173    1.122581510545491    2.845238095238095    0.110532366960783
    0.556189257779433    1.194324738285164    3.041666666666667    0.114646826634659
    0.595472088235407    1.275262574756884    3.211111111111111    0.119074226337917
    0.638830284225777    1.365526701441101    3.414285714285714    0.123936085471909
    0.687736203564511    1.470031805545887    3.690476190476191    0.129327646396778
    0.742969897409393    1.600065065061655    4.041666666666667    0.135394855775267
    0.806303583760709    1.765463023740399    4.550000000000000    0.142597739010794
    0.881051810687596    1.986761149137541    5.045454545454545    0.151950214021794
    0.974888232403606    2.309453045559090    6.071428571428571    0.166333195695125
    1.118366424009155    2.866663682135333    8.045454545454547    0.190079910924730
    1.436098332342447    4.238842420430370   14.083333333333334    0.235514148233188
  196.073365833414044  782.069999899651975  100.000000000000000    5.029340402147010

#  Quality value and parameter threshold indexes:
   41 23 15  2  0     0
   37 39  4  3  0     4
   36 39  4  4  0     1
   34 14 15  4 34     2
   38 12 30  0 36     5
   36 39 11  2 34     6
   35  2  7  7  2     7
   35 21 15  1 36    16
   34 20 15  2 25    10
   33  0 13  6 16    15
   34  3 16  5 15     3
   33 39  0  7  8     8
   33 12  6  6 14     9
   33 10 16  3 34    13
   32  7  6  6 34    12
   34  9 11  5 31    11
   34  0 11  6 23    19
   32 12 16  2 39    24
   32 39  0  7 17    14
   33 39  3  7 16    34
   32 39  6  9  3    36
   32 24 14  4  5    28
   32 39 11  3 34    23
   32  9 20  2 16    53
   32  0  9  6 30    61
   32 39 10  4 34    17
   31 12 16  4 36    41
   31  0 10  7 21    21
   32  8  6  7 21    18
   31 39  2  9  4    20
   31  9 18  2 36    25
   31  9 17  3 36    22
   31 17 11  4 36    27
   30  7  8  9 34    80
   32  7 10  7 26    35
   31  3 16  6 34    31
   32  7 14  6 34    30
   31 10  8  9 11    37
   30 39  5  8 33    26
   30  3 17  6 15    32
   30 21 22  0 39    29
   32 16 16  4 18    79
   29  2  8  4 38    65
   29  6 10  7 35    68
   29 15 20  2 16    39
   30 10 17  4 36    33
   29  2 19  6  5    51
   29  2 20  5 10    54
   29  3 17  6 30    45
   29 14 18  2 36    62
   28  4  7 13 22    40
   30  7  8 10 23    38
   28 12 12  6 37    81
   32 11  8  9 26    42
   30 10 15  5 37    46
   29 39 10  6 36    47
   29  5  8  3 39    48
   29 39  9  7 26    63
   29  9 15  6 34    56
   29 11 13  7 18    64
   29  7 13 10 21    77
   32 11  9  9 28    43
   30 11 13  8 22    60
   29  3 17  8  3    58
   29  5 14  9 21    66
   30  2 17  8 13   179
   29 11  9  9 31    59
   28 13 20  2 39    49
   30  2 20  3 29    44
   28  2 19  6 29    92
   28 20 15  2 32    90
   28 15 12  6 35    95
   28  2 15 10 13    57
   28  4  8 12 22    55
   28 18 14  3 29    87
   28 14  7 12  6    72
   28 11  6 12 18   207
   29  6  9 12 19    69
   27  9 11  9 37   116
   30  1 13  9 28   294
   31  1 13  8 36    50
   29  1 14  9 30    73
   28 14 12  7 31   120
   28  9 14  7 36    83
   27  6  8 12 30   100
   28 11 10 10 28    76
   27  4  7 14 22    85
   28  2  9 14 13    52
   27 21 20  2 39    67
   28 18 16  4 17    75
   29 19 11  6 35   111
   27 19 13  6 35    82
   29 18 16  4 29    71
   27 39 11  4 38   140
   27 24 14  3 29    74
   29 22 19  2 39    89
   27  2 17  8 20    70
   27  1 15  9 30   141
   27  2 16  9 20   129
   27 10 13  3 39    97
   28  9 16  4 38   123
   27 18 17  3 27    98
   27 14 17  4 35    96
   27 18 12  7 28   121
   27 11  9  9 37   208
   27 26 17  1 35   117
   27 26 18  2 12    86
   27 26 17  2 29   199
   26  7  4 12 35   240
   26 14  7 14 27    84
   27 14 10 10 13   345
   28 14  8 12 26   122
   27 11  7 11 35    78
   26  9 14  7 38   142
   26 17 11  4 39    99
   26 15 25  2 39   112
   28  3 28  2 39   104
   27  3 39  2 24   159
   27 22 21  2 29   170
   26  1 26  4 35   161
   28  7 21  4 26   110
   27  2 20  6 33   102
   27  7 19  4 37   241
   27  1 25  5 13   212
   26  2 21  6 31   103
   26 11  9 13 18   101
   26 13 10  7 38    91
   26 18 16  4 34    88
   26 22 14  4 32   118
   28 21 12  6 35    94
   26 18 18  3 34   105
   26 39 15  2 38   107
   26 18 23  2 39   106
   26 14 18  4 35    93
   26  2 18  9  2   209
   26  3 15  6 38   119
   26  9 11 11 19   155
   25 39  5 16 17   134
   25  2 20  9 22   124
   25 13 19  6 22   135
   28 15 19  4 35   108
   28 20 17  4 15   144
   27  9 16  7 34   136
   26 15 20  6  4   113
   26  8 21  6 24   196
   25 11 10 12 19   351
   25 39  6 12 35   153
   25 26 30  0 39   243
   25 14  9 15  6   125
   25 13  8 14 27   157
   25 16 10 10 13   201
   25 17 11 15  0   126
   25  7 12 12  6   169
   26 10 14 15  0   109
   25  3 14 12 16   133
   26  2 15 12 14   213
   25  1 13 14 26   218
   26 11  9 14 27   143
   25 11 11 12 27   115
   27 11 12 13 11   114
   25 15 12  9 22   127
   27 13 14  8 22   130
   25  0 16  4 39   132
   25 12 11  8 37   223
   25 12 13  8 36   128
   25 10 13 10 27   378
   25  9 12  9 35   242
   25  5 19  5 37   131
   25 39  7 12 33   162
   26 13 10 12 28   156
   27 13 12  9 34   172
   25 16 11  9 26   181
   25  2 13 15 14   202
   25 39  1 17  2   204
   25  3 33  2 39   138
   25 23 15  4 16   154
   25 11 21  3 35   195
   25  6 25  3 36   346
   24  9 15 17 35   245
   29 11 11 17 32   174
   25  5 17 10  9   210
   25  2 17 10 22   205
   25 11 14 14 14   180
   25 13 15  9 13   167
   25 16 13  9 11   177
   25 18 13  8 16   152
   25 39 11  8 22   166
   24 39  4 18  4   165
