#
# Version TT_2.0
#

#  Parameter thresholds:
    0.001562500000000    0.001575211391707    1.087121212121212    0.017191781140921
    0.021276937931515    0.043747477553532    1.174242424242425    0.024777541289647
    0.039456055579861    0.082887118257841    1.184659090909091    0.029658991812758
    0.057037293716529    0.118121517026234    1.279220779220779    0.033230988017792
    0.072850244456460    0.150327148328418    1.303846153846154    0.036676587782729
    0.088017010135703    0.181820045031485    1.369318181818182    0.039998983350493
    0.102978375596912    0.212766395590935    1.408333333333333    0.043207633704704
    0.118127179724145    0.244129497264169    1.449494949494949    0.046327905324426
    0.133335841398582    0.276325973431087    1.516666666666667    0.049370855292596
    0.148671150650306    0.310183332772199    1.563492063492064    0.052360876339369
    0.163936676308955    0.345282921131821    1.607692307692307    0.055309420479724
    0.179663772248331    0.381944888511086    1.630681818181818    0.058214775733090
    0.195400785194697    0.420304937698246    1.679487179487180    0.061103993005511
    0.211710952857654    0.461377647371218    1.759615384615385    0.063976688000030
    0.228403111113404    0.503577839685705    1.788888888888889    0.066864708725684
    0.245630710475459    0.547373579248097    1.866071428571428    0.069726009245107
    0.263295372503288    0.593241802494034    1.881944444444445    0.072620112355148
    0.281762877026506    0.640910501305574    1.894444444444445    0.075518957541198
    0.301195232593751    0.690036807369390    2.038461538461538    0.078451343768519
    0.321347415058462    0.738626421515773    2.133928571428572    0.081425538247655
    0.342432205608506    0.787349656410264    2.154761904761905    0.084447290906929
    0.364572980248977    0.836851967860706    2.261363636363637    0.087533616935675
    0.387867359066647    0.886990485072596    2.292857142857143    0.090711880782579
    0.412355558810662    0.938239185305181    2.387500000000000    0.093960327330901
    0.438441706847093    0.990925926732563    2.436507936507937    0.097338328576000
    0.465999870866554    1.044952528206857    2.522727272727272    0.100846679258617
    0.495521585159649    1.102561874441022    2.645833333333333    0.104524935389392
    0.526869481241098    1.164669975451980    2.720779220779221    0.108350991424805
    0.560805888110752    1.233597294307599    2.845238095238095    0.112434724972140
    0.597408723454470    1.309317979916510    3.041666666666667    0.116796043139211
    0.637215894016097    1.392007152178031    3.211111111111111    0.121576769883715
    0.681240516474101    1.487980311071663    3.414285714285714    0.126835910010563
    0.730557986354553    1.603228122987701    3.690476190476191    0.132733600142897
    0.785647737406635    1.743318203656982    4.062500000000000    0.139577679713741
    0.848527806602471    1.923064741342972    4.550000000000000    0.148085214586414
    0.922827817666887    2.163189758920643    5.045454545454545    0.159709305035107
    1.018280213024437    2.514712793056637    6.071428571428571    0.176483874194697
    1.174327825998850    3.125970537616783    8.045454545454547    0.201369935609918
    1.522562320674990    4.607197905293943   14.083333333333334    0.248881770605794
  196.073365833414044  200.681915274195575  100.000000000000000    5.029340402147010

#  Quality value and parameter threshold indexes:
   56  4 11  2 21     0
   49  4 11  2 30     1
   49  8  4  3  8     2
   44  8  4  4  8     5
   43  4  4  4 20     3
   45  4  4  3 23     4
   43  4 14  1 36     6
   41  9  7  2 35     7
   40 39  3  4 32     8
   38  3  6  4 24     9
   37  0 11  6 30    11
   38  8  7  5 20    10
   37 39  0  7  5    13
   37  0 14  5 23    12
   36  3 11  4 33    14
   35  1  3  7 21    22
   35  1  3  6 31    16
   35  5 11  2 36    15
   35 18 10  2 13    17
   35  7 11  2 37    21
   35 39  8  2 37    19
   35  6  5  9  0    18
   36  5  8  6 20    20
   34  8  6  9  6    24
   34  1  5  6 33    26
   34  8  8  3 34    28
   34  3  7  4 35    27
   34  4 14  3 35    31
   34  3 13  6 23    23
   33  1 11  6 34    25
   33  8  4  4 36    29
   34  7  5  7 21    78
   33 18 13  2 37    36
   33 18 11  2 38    30
   33  8  4  6 30    34
   32  6  5  9 33    39
   33  4 12  6 33    33
   32  8 18  2 37    32
   32  8 11  3 36    35
   33  8 10  4 34    38
   32 12 10  4 31    37
   31  1 13  6 35    40
   31 39  9  2 39    44
   31 13 11  3 35    41
   32 13  9  4 36    45
   31  2  6  8 31    46
   31  2  7  8 25    49
   31  9  5  8 32    48
   31  8  7  6 32    47
   31  2 17  6  5    59
   30  7 10  6 32    43
   30  2  6  9 31    42
   29  3  7 12 18    79
   30  4  6 13  4    51
   29  7 10  6 37    53
   30  5  7  4 38    57
   30  8  5  7 34    55
   30  5  7  3 39    60
   30  8 14  3 37    50
   31 11 12  4 36    56
   30  5 16 10  0    58
   29 39  1 13 13    74
   29 39  9  4 36   102
   29  8 14  4 37    81
   29  3 14  6 29    67
   29 15 13  4 11    52
   29 11 18  2 37    64
   29  2  7  9 30    80
   29 10  6 10 11    54
   28  4  6 12 29    63
   28  5  7  9 36    68
   28  2  5 13 22    90
   28  2  7 14 15   100
   28  2 17  6 28    87
   30  9 15  4 37    66
   28 11  8  7  8    65
   28 11  7  6 36    93
   27  0 12 10 33    61
   33  1 16  8 15    62
   30  0 12  9 35   179
   29  5 10 10 26    71
   29  1 16  8 20    72
   28 10  5 10 32    73
   28  8  9 10 11    69
   28 10  7 10 25    70
   28  6 11 10 26    85
   28  9 10  8 16    88
   29 10 13  5 36    83
   28  7 12  6 37    86
   27  6  7 13 26    82
   29 10  6 14 15    84
   27  5  7 12 30   101
   27 16 17  2 37    76
   29 15 14  4 18    75
   28 12 18  2 39    94
   27 39  3 16  1   174
   27 39 12  2 38   149
   27  6  9  9 36   103
   27 13  7  7 24    77
   27 12 10  6 34   115
   29 10  8  9 30   121
   28 10 11  8 23   402
   30 10 13  6 35   105
   28 39  8  6 24   104
