#
# Version TT_2.0.1
#

#  Parameter thresholds:
    0.000437508494989    0.000695958681429    1.171568627450981 -178.500000000000000
    0.034827275443248    0.100589513750976    1.184659090909091 -145.500000000000000
    0.055727753092841    0.140688139637135    1.275252525252526 -120.500000000000000
    0.071812106693383    0.168560775965430    1.302173913043479 -100.500000000000000
    0.085321435878346    0.192110424864061    1.366028708133971  -83.500000000000000
    0.097445866174282    0.213943222320654    1.404545454545454  -68.500000000000000
    0.108879531385758    0.235013062608722    1.458041958041958  -55.500000000000000
    0.120038597925351    0.256212043945457    1.508064516129032  -44.500000000000000
    0.131113376172101    0.277888054903267    1.557777777777778  -35.500000000000000
    0.142237816742774    0.300427620957680    1.605555555555556  -28.500000000000000
    0.153652450641411    0.324356235953167    1.672043010752689  -22.500000000000000
    0.165396373566642    0.350310490883046    1.717142857142857  -17.500000000000000
    0.177647117948021    0.378453051593771    1.755952380952381  -13.500000000000000
    0.190466572222676    0.409011917985163    1.781746031746032  -10.500000000000000
    0.203951919769695    0.442568202716442    1.860389610389610   -8.500000000000000
    0.218307489755663    0.479541530594576    1.878676470588236   -7.500000000000000
    0.233565031361308    0.519930831830806    1.891812865497076   -5.500000000000000
    0.249835909813251    0.564099853561726    2.014705882352941   -4.500000000000000
    0.267249874353781    0.612364166448631    2.129166666666666   -3.500000000000000
    0.286013542603793    0.664642428675215    2.184659090909091   -2.500000000000000
    0.306092180668190    0.720209779482687    2.255434782608696   -1.500000000000000
    0.327794939114582    0.778444450335967    2.303846153846154   -0.000000000000000
    0.351197574309723    0.838993232276921    2.377155172413793   -0.000000000000000
    0.376449390182022    0.901162154315222    2.447222222222222   -0.000000000000000
    0.403811160719898    0.964404357811041    2.559027777777778   -0.000000000000000
    0.433657594164232    1.030168593625618    2.628289473684211   -0.000000000000000
    0.466008324146163    1.099159204601357    2.718253968253968   -0.000000000000000
    0.501128844914815    1.172174846898125    2.836666666666666   -0.000000000000000
    0.539422905676535    1.250727761923414    3.026315789473685   -0.000000000000000
    0.581313437912533    1.337711063603930    3.207142857142857   -0.000000000000000
    0.627299862741905    1.435997993616152    3.405882352941177   -0.000000000000000
    0.678137580313783    1.549538250133332    3.607692307692307   -0.000000000000000
    0.734414405689313    1.685553328354289    3.839743589743589   -0.000000000000000
    0.797644346130807    1.853482006582766    4.207142857142857   -0.000000000000000
    0.870498162199492    2.072740677138269    4.605555555555555   -0.000000000000000
    0.957832348322403    2.380773564124857    5.267857142857143   -0.000000000000000
    1.074437539045559    2.858077137235548    6.354166666666667   -0.000000000000000
    1.265248883235950    3.748226776317938    8.550000000000001   -0.000000000000000
    1.714480772604541    6.320916053885915   15.071428571428569   -0.000000000000000
 1542.058008562240957 1736.553774460950535  100.000000000000000   -0.000000000000000

#  Quality value and parameter threshold indexes:
   34 18 28  3  0     7
   33 16 22  7  1    26
   34 18 23  2  1     8
   33 39  0 39  0     9
   33 39 11  2  1    17
   33 20 12  7  1    46
   32 13 15  1 10    94
   38 15 12  0 10    62
   37 13 25  1  4    15
   36 23 15  1  2    27
   34  2 19  1  8    10
   34 23 17  7  0    47
   34 23 21  3  1    28
   33 39  8  1  5    54
   32  6 22  4  4   189
   35 39  3  4  3    71
   33 16 16  3  2     2
   35 14 12  4  2     0
   33 13 23  3  3    30
   33 19 12  4  2    11
   33 15 12  3  3    12
   32 15 12  4  3   105
   32 23 17  7  1    29
   32  7  7  4  4   205
   32 27 20  0  2    18
   31 20 15  4 11    20
   37  2 19  3  8    16
   35 39 11  3  9     1
   34  9 19  2  8    42
   34 39 12  2  9    19
   34 21 14  2 11    33
   33 26 18  0  4     5
   33 22 21  3  2    48
   33 19 17  0  8    32
   32 13 16  4  8   100
   32  9 24  3  5    31
   31 23 22 12  2     3
   32 39  0 27  2    13
   32 39 14  4  3     4
   31 39  1  6  4    55
   31 13 16  4 10    50
   31 17 16  2 10    77
   33 16 23  3  4    14
   31 10 17  4  8    51
   31  4 20  4  7    23
   30 21 16  8 16    63
   35 17 18  8  4    35
   34  4 20  6  7    78
   33 21 18  9  3   154
   32 21 16 12  3   113
   32  1 20  8  7     6
   32  6 24  7  5    34
   32 23 16  6  4    21
   31 19  9  9  9   167
   34 10 17  9  7   119
   32  0 11  9 10    95
   31  2  5 11  4    49
   31  1 24  9  7    67
   31  2 19  0 12   106
   31 39  0 27  3    52
   31 39  0 14  4    22
   30 21 12 11  9   101
   35 21 12 12  6    24
   32  8 16  9 10    37
   31  1 19  9  8    38
   31 14 17  9  6    64
   31 19 18  7  5    57
   32 21 17  2  7    56
   31 24 18  2  4    58
   31 23 18  9  4   115
   30 13 15  0 20    81
   34 13 15  1 17    72
   31  3 17  0 19    44
   31 15 15  0 19   117
   30 39  9  1 18    80
   31 13 15  1 18    79
   30  2 19  2 12    82
   32  2 19  9  9   190
   32 10 17  3 11    43
   31  7 19  2 11    75
   31  5 22  0 12    40
   31  2 28  3  8    65
   31  8 28  2  7    85
   30 18 17  2 11    73
   31 16 18  1 11    84
   31 14 18  2 11    41
   30 19 17  9  9   192
   30 12 24  9  4   168
   30 39 15 12  2   194
   30 21 15  9 10   116
   30 19 17  0 14   193
   30  9 19  2 12    53
   30 21 16  0 17   114
   29 17 16  5 19    66
   35 21 11  5 18   235
   32 21 16  4 17   191
   31 39  5  1 20    25
   30 22 12  3 17   178
   30 39 13  4 10    69
   30 24 15  3 15    36
   33 23 16  2 15   107
   32 24 14  4 15    68
   31 25 14  3 12   102
   30 39 11  4 19    60
   29 25 14 10 11   206
   34 24 14  8 14    59
   32 23 13  5 17    39
   31 24 15  9  9    96
