#
# Version TT_2.0.5beta
#

#  Parameter thresholds:
    0.000003366210175    0.001512401693890    1.077935222672065    0.025367402581773
    0.007286314772302    0.017035782759142    1.117921935129192    0.031753027199996
    0.011756795701198    0.028846403063469    1.133684210526316    0.036449652455503
    0.016427401883398    0.040517716754094    1.143258426966292    0.040361233134205
    0.021276472115797    0.052243434206845    1.153972257250946    0.043796759641943
    0.026361924855856    0.064318554099067    1.167158308751230    0.046930535326632
    0.031685780771126    0.076482690686726    1.181999896163232    0.049851996487661
    0.037273251275538    0.088443453043001    1.200666666666666    0.052617290232236
    0.043103512436330    0.100101333722229    1.214331560608839    0.055264791742237
    0.049109633437557    0.111344585638525    1.230828040461068    0.057824819968764
    0.055141883443609    0.122253912978680    1.250502008032128    0.060332146968746
    0.061238806481527    0.132912425016284    1.266705836271054    0.062772810208145
    0.067331483788825    0.143516335823545    1.272922776148583    0.065179132677587
    0.073309961022194    0.154073610372670    1.285786435786436    0.067558890519767
    0.079361041147252    0.164619248349969    1.300052742616034    0.069901372964841
    0.085446447406713    0.175383112461591    1.307846153846154    0.072240964931648
    0.091580368455994    0.186220900066644    1.333548109965635    0.074569625340434
    0.097821174776075    0.197639213685875    1.357206377437591    0.076905002171936
    0.104145446119871    0.209339538551660    1.363685424127950    0.079251839084222
    0.110724067847976    0.221403260809626    1.384681545518702    0.081609976674544
    0.117429038796935    0.234043375750212    1.400222222222222    0.083993430179944
    0.124412182769023    0.247268821843265    1.416889483065954    0.086404784145532
    0.131679024280223    0.261230967858893    1.444562647754137    0.088869602043422
    0.139287098464756    0.275963651210535    1.461630474788369    0.091386195490829
    0.147236266925295    0.291658809181702    1.500130140551796    0.093970762378815
    0.155699884969522    0.308238673429687    1.545489470191736    0.096618630040949
    0.164565200137765    0.326260392447095    1.571607860011475    0.099373245304869
    0.174006776832708    0.345675017952592    1.600147492625369    0.102211458300522
    0.183992290064110    0.366225874389402    1.636440482594329    0.105179359090380
    0.194587663382520    0.388347188650042    1.666828714957058    0.108272538120133
    0.205965589962792    0.412663494770505    1.714347718253968    0.111567419693227
    0.218109247721366    0.438475268101768    1.750111111111111    0.115062104750516
    0.230953949596848    0.468548920421117    1.800124326564442    0.118789910613398
    0.244927485186479    0.502459603423411    1.857259953161593    0.122812957330026
    0.259918193289059    0.540328017533539    1.900086058519794    0.127194658841639
    0.276125695516817    0.583039624480656    2.000457875457876    0.131988231611559
    0.293630771425075    0.632319205435802    2.125253036437247    0.137342484531710
    0.312604134123201    0.688831860085549    2.200077881619937    0.143399626742227
    0.333445807461928    0.753769211678968    2.285849567099568    0.150284645112491
    0.357005907408851    0.827833424257630    2.400084961767204    0.158147349975761
    0.383586145403904    0.912879499395879    2.500380517503805    0.167288130687241
    0.414422577375602    1.011689338994292    2.666814368427272    0.177939873470873
    0.451054951884620    1.128892819106070    2.800183150183150    0.190507423149419
    0.496256139576305    1.271172204909066    3.000686813186813    0.205664205381318
    0.553451583781496    1.450364046681071    3.250615763546798    0.225015974114636
    0.628432147309887    1.696217393764239    3.500380517503805    0.250477694973580
    0.734901622605438    2.061242243442544    4.001019367991845    0.287487664139930
    0.886046779288623    2.730961565206624    4.750415282392026    0.349248164227132
    1.198560043839675    4.583774514929233    6.335680751173710    0.469154891232325
  411.273123192095909 1922.283145744089325  100.000000000000000 5113.000000000000000

#  Quality value and parameter threshold indexes:
   56 34 16  3 47     0
   52  8 22  8 10     1
   49  8 21  9 26     2
   48  8 18 14 14     3
   48 26 21 13  9     4
   47 49 33 15  4     6
   47  8 22 13 18     5
   46  2 22  9 32     7
   46 34 27  3 26     9
   46  2 33 15 14    13
   45 26 18 15 14     8
   45 10 28  4 47    11
   44 11 14 15 30    14
   46 19 16 11 32    10
   45 23 27 13 18    15
   44  1 33 12 32    12
   42 37 43  8 10    20
   41 10 22 12 41    22
   41 19 16 12 41    25
   42 32 18  7 41    19
   43 34 24  4 46    28
   40  9  9 18 36    16
   42  0  7 21  3    67
   41 11 25 13 36    17
   40 34 26  7 35    23
   42 23 26 13 27    18
   40 41 39  0 49    31
   39 37 30 15 17    34
   42 33 37  4 35    35
   40 49 32 13 17    21
   39 18 22 12 43    36
   41 21 23  6 49    24
   39  5  9 18 43    26
   38 21 25 18 27    29
   41 36 31 17 11    37
   40  8 25 15 41    32
   40 10 23 18 35    47
   39  4 38 15 27    46
   38 43 42  7 18    30
   38  2 37  9 42    27
   37 27 28 11 25    39
   37 10 22 16 41    68
   37 27 24 17 23    69
   37 27 25 12 35    33
   37  1 31 13 43    49
   36 11  5 23 31    38
   39 14 33 19  9    51
   39 14 23 21  8    61
   36  3 25 18 47    44
   38 22 16 12 47    41
   36 12  7 25  4    53
   38 49 25 30  0    42
   36 21 15 18 35    43
   37 17 22 15 43    40
   36 49 20 21  8    92
   36 34 28  8 33    71
   36 37 36  5 32    72
   36 21 14  8 49    60
   36 37 27  7 38    48
   36 16 18 18 41    45
   36  1 36 18 20    50
   37  1 28 18 46    59
   36 36 32 21  4    57
   36 21 21 16 38    52
   35 27  5 25 25    63
   35 26 32 10 26    73
   34 22 18 23 37    91
   41  1 29 21 35    55
   38  9 10 25 25    62
   38 15  1 21 40    58
   36 49 23 25  3    56
   36  1 10 19 47    54
   36  1 23 23 31    70
   36 23 20 21 30    75
   35 18 18 22 38    74
   35  7 16 25 16   100
   35 21 25 20 27    76
   34 41 33  4 37   125
   35 49 27  5 43    65
   34 26 35  8 33    64
   34 27 18 21 30    93
   34 26 43  9 27    78
   34 42 38  6 30    84
   34 12 13 25 22    98
   34  1 31 21 35   120
   34 14 33 27  1   112
   34 26 29 15 26    83
   34 49 32 13 19    85
   34 42 37  8 25    95
   34 25 21 12 43    66
   34 32 26  9 37   300
   36 32 33 12 25   103
   37 32 23 17 29    89
   35 30 23 14 37    86
   34 35 29 15 26    79
   34 21 23 22 27    81
   34 30 18 21 36    80
   34 30 24 17 37    96
   34  1 33 16 40    97
   33 19 14 25 32    90
   35 21 23 25  9    94
   34 49 20 25 10   130
   33 24 25 15 43    77
   34 24 27  8 46    88
   33 27 26 15 38    82
   33 49 34  8 30   101
   33 49 33 23  2   118
   33 33 42 12 11   129
   33 32 36 12 26    87
   33  2 34 15 44   117
   33 30  5 24 33   109
   32 14 20 21 46   114
   34  7 26 21 42   301
   33 18 14 18 49   147
   33  3 26 18 49   113
   33 21 24 20 37    99
   32 15 18 23 41   115
   33  2 25 23 41   122
   34 49 29 25  4   119
   33 23 20 23 37   102
   34  7 25 25 16   132
   32 21 25 23 31   104
   33 21 25 25 16   188
   32 19 18 25 27   187
   32 31 32 21  9   110
   35 25 24 23 31   157
   33 49 23 25 12   108
   32 43 35 13 12   219
   32 32 35 13 30   107
   34 49 32 10 30   131
